level,time,normalized_nav,drawdown
B1,2022-04-01T00:00:00.000000+0000,1.0,0.0
B1,2022-04-01T04:00:00.000000+0000,1.0,0.0
B1,2022-04-01T08:00:00.000000+0000,1.0141311225512522,0.0
B1,2022-04-01T12:00:00.000000+0000,1.010504355323452,-0.0035762310683022935
B1,2022-04-01T16:00:00.000000+0000,1.047466609383852,0.0
B1,2022-04-01T20:00:00.000000+0000,1.059706361116652,0.0
B1,2022-04-02T00:00:00.000000+0000,1.054037799539252,-0.005349181419866844
B1,2022-04-02T04:00:00.000000+0000,1.060285026781652,0.0
B1,2022-04-02T08:00:00.000000+0000,1.063963542879252,0.0
B1,2022-04-02T12:00:00.000000+0000,1.065778793490252,0.0
B1,2022-04-02T16:00:00.000000+0000,1.058840672331452,-0.006509907310201513
B1,2022-04-02T20:00:00.000000+0000,1.054059029134252,-0.010996432306200954
B1,2022-04-03T00:00:00.000000+0000,1.042091509243852,-0.022225328924802445
B1,2022-04-03T04:00:00.000000+0000,1.049305232668852,-0.015456829242634806
B1,2022-04-03T08:00:00.000000+0000,1.060694187401052,-0.004770789323503721
B1,2022-04-03T12:00:00.000000+0000,1.062990588385252,-0.0026161198947007858
B1,2022-04-03T16:00:00.000000+0000,1.062695822879252,-0.002892692770611216
B1,2022-04-03T20:00:00.000000+0000,1.060917669773852,-0.004561100057621337
B1,2022-04-04T00:00:00.000000+0000,1.067531950254852,0.0
B1,2022-04-04T04:00:00.000000+0000,1.054853124166252,-0.011876764986352928
B1,2022-04-04T08:00:00.000000+0000,1.0612831777892522,-0.005853475827218069
B1,2022-04-04T12:00:00.000000+0000,1.056696256295252,-0.010150229187063764
B1,2022-04-04T16:00:00.000000+0000,1.034555095048652,-0.03089074308111095
B1,2022-04-04T20:00:00.000000+0000,1.043899042233452,-0.022137892936841874
B1,2022-04-05T00:00:00.000000+0000,1.0549509787884521,-0.011785100636469314
B1,2022-04-05T04:00:00.000000+0000,1.061300386241052,-0.005837355980130021
B1,2022-04-05T08:00:00.000000+0000,1.0607737839492521,-0.006330645470598251
B1,2022-04-05T12:00:00.000000+0000,1.0649167768840522,-0.00244973779958102
B1,2022-04-05T16:00:00.000000+0000,1.046033031895052,-0.020138899219519946
B1,2022-04-05T20:00:00.000000+0000,1.048443817273852,-0.01788061985071554
B1,2022-04-06T00:00:00.000000+0000,1.031045573626852,-0.03417825257528784
B1,2022-04-06T04:00:00.000000+0000,1.016932667088652,-0.047398378244435935
B1,2022-04-06T08:00:00.000000+0000,1.021088537402252,-0.043505407816143093
B1,2022-04-06T12:00:00.000000+0000,1.003902698301252,-0.05960407268223655
B1,2022-04-06T16:00:00.000000+0000,0.9838407907548521,-0.07839686622964326
B1,2022-04-06T20:00:00.000000+0000,0.9804707686760521,-0.08155370109345739
B1,2022-04-07T00:00:00.000000+0000,0.9582269257700521,-0.10239040101676156
B1,2022-04-07T04:00:00.000000+0000,0.965556925602252,-0.09552409614368484
B1,2022-04-07T08:00:00.000000+0000,0.976572917705652,-0.08520497445297559
B1,2022-04-07T12:00:00.000000+0000,0.9866260943442521,-0.07578776062982018
B1,2022-04-07T16:00:00.000000+0000,0.9711487166864521,-0.09028604113009475
B1,2022-04-07T20:00:00.000000+0000,0.9820502216070521,-0.08007416417596935
B1,2022-04-08T00:00:00.000000+0000,0.9861715420412521,-0.07621355800561902
B1,2022-04-08T04:00:00.000000+0000,0.9976627228054521,-0.06544930803496785
B1,2022-04-08T08:00:00.000000+0000,0.9903032550830521,-0.07234321666284838
