arm,symbol,fee,spread,slippage,impact,total
BUY_HOLD,BTCUSDT,21.496053891742452,2.14964587376,8.718688960988118,0.002914160418738277,32.36730288690931
BUY_HOLD,ETHUSDT,22.502735362294512,2.250352317,10.00856950745256,0.006549499948767362,34.768206686695834
BUY_HOLD,BNBUSDT,22.007004331185662,2.200844515,9.318935339478498,0.036251261272617526,33.56303544693678
BUY_HOLD,SOLUSDT,22.276820011181563,2.227797257,10.494374469776233,0.02375031796236564,35.02274205592016
BUY_HOLD,XRPUSDT,20.089426398521635,2.00897411,8.911501155539916,0.03115308305976622,31.041054747121315
CASH,BTCUSDT,0.0,0.0,0.0,0.0,0.0
CASH,ETHUSDT,0.0,0.0,0.0,0.0,0.0
CASH,BNBUSDT,0.0,0.0,0.0,0.0,0.0
CASH,SOLUSDT,0.0,0.0,0.0,0.0,0.0
CASH,XRPUSDT,0.0,0.0,0.0,0.0,0.0
F2,BTCUSDT,81.6520341851086,8.16521271525,32.689289057095905,0.008926603081921478,122.51546256053643
F2,ETHUSDT,58.079222166060994,5.8081110261,26.21739437377469,0.00482738695013697,90.10955495288582
F2,BNBUSDT,70.62922850528244,7.0632115,30.031190562951117,0.05952856442680611,107.78315913266036
F2,SOLUSDT,49.76253198726189,4.976365504,22.598574291141297,0.0297026936895158,77.3671744760927
F2,XRPUSDT,38.03319529713068,3.803259937,17.101424192694523,0.029202774101542876,58.96708220092675
F3,BTCUSDT,64.41083610334958,6.441076556738,25.57393008592674,0.009112879585033092,96.43495562559936
F3,ETHUSDT,39.195599747339884,3.9196448239,17.443973035520255,0.003385368742279314,60.56260297550242
F3,BNBUSDT,58.19951801778701,5.820232002,25.152974081194873,0.051761932749970825,89.22448603373185
F3,SOLUSDT,42.989638981030005,4.299075179,19.391784881625952,0.030715810282850566,66.7112148519388
F3,XRPUSDT,31.619426463650427,3.16187237,14.273262023699072,0.028243234058264472,49.08280409140776
F4,BTCUSDT,29.688945892788425,2.968867001768,11.893933598919414,0.0013374135594885167,44.55308390703533
F4,ETHUSDT,17.920384169953973,1.7920428664,7.6692057750348726,0.0013796469575488787,27.383012458346393
F4,BNBUSDT,29.95200826847312,2.995390391,13.015059220633443,0.013863947127925704,45.976321827234486
F4,SOLUSDT,16.433652682798712,1.643402693,7.435036946911741,0.003910506176961767,25.516002828887412
F4,XRPUSDT,11.409816049468288,1.140939293,5.244995659386078,0.0033588121895633777,17.799109814043927
F5,BTCUSDT,39.392532898114084,3.939351615842,16.89330643756613,0.0008567915332312499,60.226047743055446
F5,ETHUSDT,37.337426004018006,3.7338747137,17.32125888911574,0.0014120655175540327,58.3939716723513
F5,BNBUSDT,51.212802395971025,5.121574299,22.077774808583925,0.013369891163153768,78.4255213947181
F5,SOLUSDT,30.428873762461254,3.043024644,14.618397514297849,0.003837386467339928,48.09413330722644
F5,XRPUSDT,36.37166812095908,3.637404862,17.74111040319838,0.00649068400392617,57.75667407016139
