arm,month,start,end,partial_month,start_equity,end_equity,net_compound_return,cagr,sharpe,calmar,maximum_drawdown,initial_equity,final_equity,net_profit,annualized_volatility,cvar_95_4h,worst_4h_return,drawdown_duration_days,underwater_fraction,capital_weighted_exposure,holding_clock_fraction,exposure_conditional_on_holding,clock_points
BUY_HOLD,2026-03,2026-03-08T00:00:00.000000+0000,2026-04-01T00:00:00.000000+0000,true,50000.0,50970.776083007586,0.019415521660152146,0.3399711947636763,0.8758992813733076,2.5213965792551694,0.13483447925677172,50000.0,50970.776083007586,970.7760830075858,0.44943519219288114,-0.021100644565062013,-0.027705867847013343,15.0,0.8689655172413793,0.978236875013431,0.9862068965517241,0.9919185096290035,145
BUY_HOLD,2026-04,2026-04-01T00:00:00.000000+0000,2026-05-01T00:00:00.000000+0000,false,50970.776083007586,53085.669573407584,0.04149227563174307,0.640447926123187,1.4227948610977181,9.562588721963156,0.06697432512727641,50970.776083007586,53085.669573407584,2114.893490399998,0.40555279275778083,-0.020080950710501016,-0.028967804648807993,13.333333333333334,0.9337016574585635,0.9919696887814284,1.0,0.9919696887814284,181
BUY_HOLD,2026-05,2026-05-01T00:00:00.000000+0000,2026-06-01T00:00:00.000000+0000,false,53085.669573407584,52610.19814660758,-0.008956681353384122,-0.10058018283715187,-0.13153075137791317,-0.8185434731359584,0.12287702014385948,53085.669573407584,52610.19814660758,-475.4714268000025,0.3471008620752653,-0.01760410849783097,-0.027001303835812895,20.166666666666668,0.9090909090909091,0.9921802441393027,1.0,0.9921802441393027,187
BUY_HOLD,2026-06,2026-06-01T00:00:00.000000+0000,2026-07-01T00:00:00.000000+0000,false,52610.19814660758,42338.79510980759,-0.1952359694251088,-0.9289580812730475,-4.574235113053198,-4.423547119276462,0.2100029809165891,52610.19814660758,42338.79510980759,-10271.403036799995,0.5452779510270714,-0.02678392091825437,-0.03580356897979664,30.0,0.994475138121547,0.990506063507844,1.0,0.990506063507844,181
BUY_HOLD,2026-07,2026-07-01T00:00:00.000000+0000,2026-08-01T00:00:00.000000+0000,false,42338.79510980759,45159.27919000758,0.0666170133770907,1.137979095052057,2.3937461012786656,23.486214120680167,0.0484530665182874,42338.79510980759,45159.27919000758,2820.4840801999962,0.341801965226052,-0.013743321935041608,-0.02206290328547511,10.333333333333334,0.9037433155080213,0.9907206519761083,1.0,0.9907206519761083,187
BUY_HOLD,2026-08,2026-08-01T00:00:00.000000+0000,2026-09-01T00:00:00.000000+0000,false,45159.27919000758,58192.79077660758,0.2886120376669776,18.837548008832805,7.014240608157377,393.45095431815514,0.04787775401759542,45159.27919000758,58192.79077660758,13033.511586599998,0.4398604784589123,-0.015523470511211357,-0.029388703322150822,9.833333333333334,0.8449197860962567,0.9914708131250225,1.0,0.9914708131250225,187
BUY_HOLD,2026-09,2026-09-01T00:00:00.000000+0000,2026-09-08T12:00:00.000000+0000,true,58192.79077660758,59210.260724576416,0.017484467309271334,1.325965564164087,2.150978023286759,38.62280017379746,0.03433116082203824,58192.79077660758,59210.260724576416,1017.4699479688352,0.4363204966136214,-0.016490412463475046,-0.024105497414076416,2.3333333333333335,0.8913043478260869,0.9712138433930666,0.9782608695652174,0.9927963732462459,46
CASH,2026-03,2026-03-08T00:00:00.000000+0000,2026-04-01T00:00:00.000000+0000,true,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145
CASH,2026-04,2026-04-01T00:00:00.000000+0000,2026-05-01T00:00:00.000000+0000,false,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
CASH,2026-05,2026-05-01T00:00:00.000000+0000,2026-06-01T00:00:00.000000+0000,false,50000.0,50000.0,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
