arm,mode,cost_multiplier,net_compound_return,cagr,sharpe,calmar,maximum_drawdown,initial_equity,final_equity,net_profit,annualized_volatility,cvar_95_4h,worst_4h_return,drawdown_duration_days,underwater_fraction,capital_weighted_exposure,holding_clock_fraction,exposure_conditional_on_holding,clock_points,final_cash_decimal,total_cost,fills,closed_trades,win_rate,rejections
BUY_HOLD,FROZEN_ORDERS_FUNDED,1.5,0.18253765258428079,0.3936379894384783,0.9892676566942575,1.403867818050756,0.28039533663862826,50000.0,59126.88262921413,9126.882629214131,0.4277532652896275,-0.020298636419874772,-0.035834807103081734,102.0,0.9729241877256317,0.9895761565824861,0.9972924187725631,0.9922627886818051,1108,59126.88262921413053713601488,250.14043718586947,10,5,1.0,0
BUY_HOLD,FROZEN_ORDERS_FUNDED,2,0.18087013168436283,0.3897502240251687,0.9823059299803233,1.3890782388319591,0.28058190901680224,50000.0,59043.50658421818,9043.50658421818,0.4280837188919138,-0.020314115027624594,-0.03586611086629388,102.0,0.9729241877256317,0.9903389381387917,0.9972924187725631,0.9930276411382635,1108,59043.50658421818156307452974,333.51648218181845,10,5,1.0,0
BUY_HOLD,REDECIDE_FUNDED,0,0.18754046132800029,0.40533410850462626,1.010115157446886,1.4484624446723737,0.2798374994087668,50000.0,59377.0230664,9377.023066399997,0.42679816083432376,-0.020252375878985422,-0.03574128885225436,102.0,0.9729241877256317,0.9872965230105455,0.9972924187725631,0.9899769660594427,1108,59377.02306640000000000000000,0.0,10,5,1.0,0
BUY_HOLD,REDECIDE_FUNDED,0.5,0.1858728174060984,0.40142993143552963,1.003172576144325,1.4335598910102931,0.2800231325896152,50000.0,59293.64087030504,9293.64087030504,0.42711048639457116,-0.020267766925985968,-0.03577239629604567,102.0,0.9729241877256317,0.9880549530505349,0.9972924187725631,0.9907374551855137,1108,59293.64087030503975559875002,83.38219609496025,10,5,1.0,0
BUY_HOLD,REDECIDE_FUNDED,1,0.18420521449152694,0.3975312251610772,0.996223307339013,1.4186950254525807,0.28020907808164053,50000.0,59210.260724576416,9210.260724576416,0.42742885446738993,-0.020283187079522046,-0.03580356897979664,102.0,0.9729241877256317,0.988814829566313,0.9972924187725631,0.9914993947144569,1108,59210.26072457641660131075499,166.7623418235834,10,5,1.0,0
BUY_HOLD,REDECIDE_FUNDED,1.5,0.18253765258428079,0.3936379894384783,0.9892676566942575,1.403867818050756,0.28039533663862826,50000.0,59126.88262921413,9126.882629214131,0.4277532652896275,-0.020298636419874772,-0.035834807103081734,102.0,0.9729241877256317,0.9895761565824861,0.9972924187725631,0.9922627886818051,1108,59126.88262921413053713601488,250.14043718586947,10,5,1.0,0
BUY_HOLD,REDECIDE_FUNDED,2,0.18087013168436283,0.3897502240251687,0.9823059299803233,1.3890782388319591,0.28058190901680224,50000.0,59043.50658421818,9043.50658421818,0.4280837188919138,-0.020314115027624594,-0.03586611086629388,102.0,0.9729241877256317,0.9903389381387917,0.9972924187725631,0.9930276411382635,1108,59043.50658421818156307452974,333.51648218181845,10,5,1.0,0
CASH,REDECIDE_FUNDED,1,0.0,0.0,,,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108,50000.0000,0.0,0,0,,0
F2,FROZEN_ORDERS_FUNDED,1.5,0.0641521406329284,0.13098954382421146,1.1946412689718462,2.002692810516202,0.065406707976571,50000.0,53207.60703164639,3207.6070316463884,0.10789292485970542,-0.005142669611113012,-0.013702097713377381,100.5,0.7915162454873647,0.18685620168457948,0.6633574007220217,0.2816825462129443,1108,53207.60703164638599300344936,639.351930383614,250,14,0.35714285714285715,5
F2,FROZEN_ORDERS_FUNDED,2,0.05988989720613214,0.12203931684356384,1.1184859241389937,1.825177441029346,0.06686435745926012,50000.0,52994.49486030667,2994.494860306673,0.1081609868343302,-0.005160994594602294,-0.013726251345387519,100.5,0.7915162454873647,0.1872383932793709,0.6633574007220217,0.28225869354223526,1108,52994.49486030667211732149814,852.4641017233279,250,14,0.2857142857142857,5
