open_time_ms,open,high,low,close,base_volume,close_time_ms,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
1741392000000,86801.74,86897.25,86538.59,86726.8,774.07981,1741395599999,67120644.47635,151674,407.18646,35305763.9024143
1741395600000,86726.79,86761.5,85218.47,86105.99,1381.62062,1741399199999,118627462.7241604,227574,598.80749,51411486.0609294
1741399200000,86105.99,86341.13,85943.25,86180.19,717.50376,1741402799999,61815134.1332877,154164,355.07732,30595713.3071903
1741402800000,86180.19,86183.83,85456.0,85919.12,557.03426,1741406399999,47817690.0526191,129850,241.34356,20718041.4778172
1741406400000,85919.12,86500.0,85653.66,86444.53,642.75837,1741409999999,55411721.4002724,121722,394.99267,34061678.9016365
1741410000000,86444.52,86462.7,86019.11,86279.12,302.64705,1741413599999,26092161.3639078,80421,153.90583,13267906.8581002
1741413600000,86279.13,86662.0,86270.0,86465.0,565.6798,1741417199999,48908098.7887937,96528,315.94416,27316399.6949234
1741417200000,86464.99,86535.18,86106.37,86197.14,460.04445,1741420799999,39737575.2461046,74546,225.72563,19497125.942857
1741420800000,86197.14,86326.26,86040.01,86071.57,448.83906,1741424399999,38665843.6222905,96053,218.25708,18803251.0128505
1741424400000,86071.57,86450.01,85828.2,85943.28,494.55943,1741427999999,42621850.9229187,101697,220.26578,18988204.7508335
1741428000000,85943.29,86264.0,85943.28,86123.19,371.08485,1741431599999,31962238.2746874,76603,177.52857,15292078.8393842
1741431600000,86123.2,86132.78,85762.72,85955.88,460.84829,1741435199999,39581167.3222189,118431,175.6803,15086464.7621499
1741435200000,85955.89,86411.17,85808.82,86209.72,649.57361,1741438799999,55952119.8818714,130073,341.65017,29437648.2699458
1741438800000,86209.72,86537.84,86128.72,86327.96,826.86145,1741442399999,71384518.7871597,128834,452.8805,39102361.0885939
1741442400000,86327.96,86626.32,86205.33,86361.69,503.84305,1741445999999,43533346.387379,98578,232.8068,20117037.6883141
1741446000000,86361.68,86627.51,86200.0,86400.0,466.88681,1741449599999,40354777.5875262,87146,283.53905,24507948.7797391
1741449600000,86400.0,86450.97,85818.7,86148.09,581.9076,1741453199999,50096925.8071331,121313,233.22973,20084223.4608447
1741453200000,86148.1,86155.89,85661.76,85943.08,836.73089,1741456799999,71870079.9305891,171800,383.37664,32935908.0232767
1741456800000,85943.07,86084.45,85869.44,86044.02,215.55897,1741460399999,18541618.7772039,60751,123.73614,10643376.4985684
1741460400000,86044.02,86500.0,85800.0,86233.52,587.19603,1741463999999,50635212.6098984,105995,307.74611,26539562.1937393
1741464000000,86233.52,86368.59,86185.0,86281.39,192.8745,1741467599999,16641067.2401236,48832,120.22372,10372791.8005828
1741467600000,86281.4,86500.0,86200.0,86228.16,219.78668,1741471199999,18981308.7903978,39854,133.65001,11542704.9851436
1741471200000,86228.17,86382.58,85852.12,86350.0,400.87514,1741474799999,34505242.3064171,64050,203.78319,17544072.3465065
1741474800000,86350.01,86400.0,86066.17,86222.45,330.43606,1741478399999,28501162.218695,67485,190.2289,16409840.7007329
1741478400000,86222.46,86463.0,86116.6,86416.12,350.50278,1741481999999,30265696.6694791,56890,216.11178,18663008.4676159
1741482000000,86416.11,86500.0,86098.33,86198.39,257.53715,1741485599999,22229592.3216492,83849,116.79728,10081169.6065511
