open_time_ms,open,high,low,close,base_volume,close_time_ms,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
1609459200000,28923.63,29031.34,28690.17,28995.13,2311.811445,1609462799999,66768830.34010008,58389,1215.359238,35103542.78288276
1609462800000,28995.13,29470.0,28960.35,29409.99,5403.068471,1609466399999,158357816.8180572,103896,3160.041701,92613991.93555292
1609466400000,29410.0,29465.26,29120.03,29194.65,2384.23156,1609469999999,69842653.6734203,57646,1203.433506,35252749.90832606
1609470000000,29195.25,29367.0,29150.02,29278.4,1461.345077,1609473599999,42760776.72551646,42510,775.915666,22705547.98307977
1609473600000,29278.41,29395.0,29029.4,29220.31,2038.046803,1609477199999,59614637.30352874,55414,1003.342834,29346381.88020654
1609477200000,29220.31,29235.28,29084.11,29187.01,1469.956262,1609480799999,42864538.70435811,41800,679.846742,19827190.29247262
1609480800000,29187.01,29270.0,29077.32,29174.35,1420.726291,1609484399999,41446013.01819005,46400,699.142676,20398322.75992173
1609484400000,29174.35,29191.98,28806.54,29092.83,2380.180918,1609487999999,69034619.0948994,53158,1054.720991,30598457.40248306
1609488000000,29092.84,29178.03,28872.24,29000.01,2008.165739,1609491599999,58274190.69862189,55012,1022.06617,29662447.72598589
1609491600000,29000.01,29307.73,28970.0,29202.21,2022.056022,1609495199999,59006512.260986,43674,1208.477578,35272717.35224266
1609495200000,29202.21,29344.97,29152.88,29223.82,1944.255841,1609498799999,56881923.87605724,46783,1014.538319,29683027.81899852
1609498800000,29223.82,29402.57,29212.44,29313.49,2309.227717,1609502399999,67680909.41227815,49883,1309.012816,38371497.60008983
1609502400000,29313.49,29600.0,29150.0,29233.49,4191.915161,1609505999999,123253838.2361711,82845,2333.306753,68649197.19260734
1609506000000,29233.49,29470.0,29200.0,29464.79,2211.29829,1609509599999,64952612.17843147,51420,1102.4041,32385604.78507834
1609509600000,29464.79,29530.0,29266.15,29327.84,2612.67217,1609513199999,76824362.53364532,63341,1251.808709,36813212.09859227
1609513200000,29327.83,29391.0,29030.14,29188.67,2779.063894,1609516799999,81232002.48765679,71966,1262.580153,36922103.1313425
1609516800000,29188.67,29360.0,29125.0,29300.57,1490.329484,1609520399999,43610391.87454118,41586,774.312477,22657543.68634492
1609520400000,29300.79,29339.76,28937.0,29079.64,2504.977099,1609523999999,73023440.33533108,58010,1019.118051,29715488.816127
